company_name,company_industry,platform,ats_url,career_url,url_verified
Taco Bell,Restaurants,greenhouse,,,False
EquipmentShare,Construction,greenhouse,,https://www.equipmentshare.com/careers,True
Ruby Labs,"Technology, Information and Media",greenhouse,,,False
SpaceX,Aviation and Aerospace Component Manufacturing,greenhouse,,,False
DoorDash,Software Development,greenhouse,,,False
Scale AI,Software Development,greenhouse,https://boards.greenhouse.io/scaleai,https://scale.com/careers,True
Crocs,Retail Apparel and Fashion,greenhouse,,https://careers.crocs.com/,True
Carvana,"Technology, Information and Internet",greenhouse,,,False
MongoDB,Software Development,greenhouse,https://boards.greenhouse.io/mongodb,https://www.mongodb.com/careers,True
Elastic,Software Development,greenhouse,https://boards.greenhouse.io/elastic,https://www.elastic.co/careers,True
Samsara,Software Development,greenhouse,https://boards.greenhouse.io/samsara/,https://www.samsara.com/careers,True
Curaleaf,Alternative Medicine,greenhouse,https://boards.greenhouse.io/curaleaf/,https://www.curaleaf.com/careers/,True
CoreWeave,IT Services and IT Consulting,greenhouse,https://boards.greenhouse.io/coreweave/,https://coreweave.com/careers,True
IXL Learning,E-Learning Providers,greenhouse,,,False
FeverUp,IT Services and IT Consulting,greenhouse,,,False
Intercom,Software Development,greenhouse,https://boards.greenhouse.io/intercom/,https://www.intercom.com/careers,True
Gusto,Software Development,greenhouse,https://boards.greenhouse.io/gusto/,https://gusto.com/about/careers,True
Relativity Space,Aviation and Aerospace Component Manufacturing,greenhouse,,https://www.relativityspace.com/careers,True
The Scion Group,Real Estate,greenhouse,,,False
Spring Health,Mental Health Care,greenhouse,,,False
Robinhood,Financial Services,greenhouse,https://boards.greenhouse.io/robinhood,https://robinhood.com/us/en/careers/,True
Formlabs,Computers and Electronics Manufacturing,greenhouse,https://boards.greenhouse.io/formlabs,https://formlabs.com/company/careers/,True
Dropbox,Software Development,greenhouse,https://boards.greenhouse.io/embed/job_board?for=dropbox,https://www.dropbox.com/jobs/all-jobs,True
Modern Animal,Veterinary Services,greenhouse,https://boards.greenhouse.io/modernanimal,https://www.modernanimal.com/careers,True
Thriveworks,Mental Health Care,greenhouse,,,False
Ogilvy,Advertising Services,greenhouse,https://boards.greenhouse.io/ogilvy,https://www.ogilvy.com/careers,True
Remitly,Financial Services,greenhouse,,https://www.remitly.com/us/en/about/careers,True
Abnormal Security,Computer and Network Security,greenhouse,https://boards.greenhouse.io/abnormalsecurity,https://abnormalsecurity.com/careers/,True
Braze,Software Development,greenhouse,https://boards.greenhouse.io/braze,https://www.braze.com/company/careers,True
AlixPartners,Business Consulting and Services,greenhouse,,https://www.alixpartners.com/careers/,True
WeWork,Real Estate,greenhouse,,https://www.wework.com/careers,True
The RealReal,Retail Apparel and Fashion,greenhouse,,https://careers.therealreal.com/,True
Verkada,Software Development,greenhouse,https://boards.greenhouse.io/verkada,https://www.verkada.com/careers/,True
Pair Team,Hospitals and Health Care,greenhouse,,,False
Bond Vet,Veterinary Services,greenhouse,https://boards.greenhouse.io/bondvet,https://bondvet.com/careers,True
Garner Health,Software Development,greenhouse,https://boards.greenhouse.io/garnerhealth,https://www.garnerhealth.com/careers,True
Figma,Design Services,greenhouse,https://boards.greenhouse.io/figma,https://www.figma.com/careers/,True
The Farmer's Dog,Manufacturing,greenhouse,https://boards.greenhouse.io/thefarmersdog,https://www.thefarmersdog.com/careers,True
BetterUp,Professional Training and Coaching,greenhouse,,,False
Planet Professional,Staffing and Recruiting,greenhouse,,,False
Townsquare Interactive,Advertising Services,greenhouse,,https://townsquareinteractive.com/careers/,True
Cityblock Health,Hospitals and Health Care,greenhouse,,,False
Charlie Health,Mental Health Care,greenhouse,,,False
West Monroe,Business Consulting and Services,greenhouse,,https://www.westmonroe.com/careers,True
Smartsheet,Software Development,greenhouse,https://boards.greenhouse.io/smartsheet/,https://www.smartsheet.com/careers,True
Airtable,Software Development,greenhouse,https://boards.greenhouse.io/airtable/,https://airtable.com/careers,True
YETI,Manufacturing,greenhouse,,,False
Legend Biotech,Biotechnology Research,greenhouse,,https://www.legendbiotech.com/careers/,True
"Ceribell, Inc",Pharmaceutical Manufacturing,greenhouse,https://boards.greenhouse.io/ceribell/,https://www.ceribell.com/careers/,True
Mindbody,Wellness and Fitness Services,greenhouse,https://boards.greenhouse.io/mindbody/,https://company.mindbodyonline.com/careers,True
Peregrine,Software Development,greenhouse,,,False
Slack,"Technology, Information and Internet",greenhouse,,https://slack.com/careers,True
Whatnot,"Technology, Information and Internet",greenhouse,https://boards.greenhouse.io/whatnot,https://www.whatnot.com/careers,True
Brex,Financial Services,greenhouse,https://boards.greenhouse.io/brex,https://www.brex.com/careers/,True
Berkadia,Financial Services,greenhouse,https://boards.greenhouse.io/berkadia,https://www.berkadia.com/careers/,True
Squarespace,Software Development,greenhouse,https://boards.greenhouse.io/squarespace,https://www.squarespace.com/careers,True
Duolingo,Software Development,greenhouse,https://boards.greenhouse.io/duolingo,https://careers.duolingo.com/,True
Zeitview,Software Development,greenhouse,,,False
Arcadia,Software Development,greenhouse,,https://www.arcadia.com/careers,True
Forter,"Technology, Information and Internet",greenhouse,https://boards.greenhouse.io/forter,https://www.forter.com/careers/,True
Quanterix,Biotechnology Research,greenhouse,,https://www.quanterix.com/careers/,True
Lucid Software,Software Development,greenhouse,,https://lucid.co/careers,True
Sigma Computing,Software Development,greenhouse,,https://www.sigmacomputing.com/careers/,True
Stitch Fix,Retail Apparel and Fashion,greenhouse,,https://multithreaded.stitchfix.com/careers/,True
Collective Health,Software Development,greenhouse,,,False
Teneo,Business Consulting and Services,greenhouse,,https://teneo.com/careers/,True
EliseAI,Software Development,greenhouse,,https://www.eliseai.com/careers,True
Udacity,E-Learning Providers,greenhouse,,,False
K Health,Hospitals and Health Care,greenhouse,,https://khealth.com/careers/,True
Campus,Higher Education,greenhouse,,,False
Narvar,"Technology, Information and Internet",greenhouse,https://boards.greenhouse.io/narvar,https://corp.narvar.com/careers/,True
Guidepoint,Information Services,greenhouse,https://boards.greenhouse.io/guidepoint,https://www.guidepoint.com/join-guidepoint/,True
Away,Retail,greenhouse,,https://www.awaytravel.com/careers,True
Everlaw,Software Development,greenhouse,https://boards.greenhouse.io/everlaw,https://www.everlaw.com/careers/,True
Dataminr,"Technology, Information and Internet",greenhouse,,,False
Maven Clinic,Hospitals and Health Care,greenhouse,https://boards.greenhouse.io/mavenclinic,https://www.mavenclinic.com/careers,True
Golin,Public Relations and Communications Services,greenhouse,,,False
Hazel Health,Hospitals and Health Care,greenhouse,,https://www.hazel.co/careers,True
