company_name,company_industry,platform,ats_url,career_url,url_verified
LHH,Human Resources Services,jobvite,https://jobs.jobvite.com/lhh/,https://www.lhh.com/us/en/careers,True
Transdev,Ground Passenger Transportation,jobvite,https://jobs.jobvite.com/transdevna/,https://www.transdevna.com/careers/,True
IDEA Public Schools,Education Administration Programs,jobvite,https://jobs.jobvite.com/ideaps/,https://ideapublicschools.org/careers/,True
Footprint Solutions,"Transportation, Logistics, Supply Chain and Storage",jobvite,,,False
Pilgrim's,Food and Beverage Manufacturing,jobvite,,,False
Insurance Office of America,Insurance,jobvite,https://jobs.jobvite.com/ioausa/,https://ioausa.com/careers/,True
Oak Street Health,Hospitals and Health Care,jobvite,https://jobs.jobvite.com/oakstreethealth/,https://www.oakstreethealth.com/careers,True
Splunk,Software Development,jobvite,https://jobs.jobvite.com/splunk/,https://careers.splunk.com/,True
"SBM Management Services, LP",Facilities Services,jobvite,,,False
Sharp HealthCare,Hospitals and Health Care,jobvite,https://jobs.jobvite.com/sharp/,https://www.sharp.com/careers/,True
VML,Advertising Services,jobvite,,,False
Wild Fork,Retail,jobvite,,,False
NICE Actimize,Software Development,jobvite,https://jobs.jobvite.com/niceactimize/,https://www.niceactimize.com/careers/,True
AppFolio,Software Development,jobvite,https://jobs.jobvite.com/appfolio/,https://www.appfolio.com/careers,True
Total Wine & More,Retail,jobvite,,,False
Alvarez & Marsal,Business Consulting and Services,jobvite,https://jobs.jobvite.com/alvarezandmarsal/,https://www.alvarezandmarsal.com/careers,True
Martin Marietta,Mining,jobvite,https://jobs.jobvite.com/martinmarietta/,https://www.martinmarietta.com/careers,True
American Arbitration Association,Alternative Dispute Resolution,jobvite,https://jobs.jobvite.com/americanarbitrationassociation/,https://www.adr.org/careers,True
GroupM,Advertising Services,jobvite,,,False
Metropolitan Transportation Authority,Urban Transit Services,jobvite,,,False
Alliant Insurance Services,Insurance,jobvite,https://jobs.jobvite.com/alliantinsurance/,https://www.alliant.com/careers/,True
