company_name,company_industry,platform,ats_url,career_url,url_verified
Walmart,Retail,workday,,https://careers.walmart.com/,True
Google,Software Development,workday,https://careers.google.com/jobs,https://careers.google.com/,True
FedEx,Freight and Package Transportation,workday,,,False
Wells Fargo,Financial Services,workday,,https://www.wellsfargojobs.com/,True
Thermo Fisher Scientific,Biotechnology Research,workday,https://jobs.thermofisher.com,https://jobs.thermofisher.com,True
Lowe's Home Improvement,Retail Furniture and Home Furnishings,workday,,,False
Citi,Financial Services,workday,,https://jobs.citi.com/,True
State Farm,Insurance,workday,,,False
RemoteWorker US,Staffing and Recruiting,workday,,,False
Northrop Grumman,Defense and Space Manufacturing,workday,,,False
Robert Half,Staffing and Recruiting,workday,https://roberthalf.wd1.myworkdayjobs.com/en-US/RobertHalfCareers,https://www.roberthalf.com/careers-with-us,True
Optum,Hospitals and Health Care,workday,,,False
Greystar,Real Estate,workday,,https://careers.greystar.com/,True
Whole Foods Market,Retail,workday,,,False
T-Mobile,Telecommunications,workday,,,False
Advocate Aurora Health,Hospitals and Health Care,workday,,,False
AT&T,Telecommunications,workday,,https://www.att.jobs/,True
CHRISTUS Health,Hospitals and Health Care,workday,,https://www.christushealth.org/careers,True
Petco,Retail,workday,,https://careers.petco.com/,True
"Hy-Vee, Inc.",Retail,workday,,https://www.hy-vee.com/careers/,True
Mastercard,IT Services and IT Consulting,workday,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers,https://careers.mastercard.com/,True
Johnson & Johnson,Hospitals and Health Care,workday,,,False
Boeing,Airlines and Aviation,workday,,https://jobs.boeing.com/,True
Mondelēz International,Food and Beverage Manufacturing,workday,,https://www.mondelezinternational.com/careers,True
U.S. Bank,Banking,workday,,https://www.usbank.com/careers.html,True
Uline,Wholesale,workday,,,False
Cognizant Technology Solutions,IT Services and IT Consulting,workday,,,False
CommuniCare Health Services,Hospitals and Health Care,workday,,,False
"The TJX Companies, Inc.",Retail,workday,,https://jobs.tjx.com/,True
Synchrony,Financial Services,workday,,https://www.synchronycareers.com/,True
Trinity Health,Hospitals and Health Care,workday,,,False
Amentum,Defense and Space Manufacturing,workday,,,False
