company_name,company_industry,employee_count_range,city,platform
Cushman & Wakefield,Real Estate,"10,000+",Chicago,bamboohr
Orkin,Consumer Services,"5001-10,000",Atlanta,bamboohr
Northwestern Mutual,Financial Services,"10,000+",Milwaukee,bamboohr
Ace Electric,Construction,201-500,Irvine,bamboohr
Korn Ferry,Business Consulting and Services,"10,000+",Los Angeles,bamboohr
"S4, LLC",,,San Francisco,bamboohr
Paul Davis Restoration,Construction,1001-5000,USA,bamboohr
House Buyers of America,Real Estate,11-50,Chantilly,bamboohr
Intrepid,Defense and Space Manufacturing,"5001-10,000",Huntsville,bamboohr
Kept Companies,Facilities Services,201-500,Fairfield,bamboohr
Onward Search,Staffing and Recruiting,51-200,Norwalk,bamboohr
Integral Federal,Government Administration,51-200,Atlanta,bamboohr
The Mosaic Company,Mining,"10,000+",Tampa,bamboohr
"Liberty Tire Recycling, LLC",Renewable Energy Semiconductor Manufacturing,1001-5000,Pittsburgh,bamboohr
Colorado Judicial Branch,Government Administration,501-1000,Denver,bamboohr
Arkos Health,Hospitals and Health Care,501-1000,Gilbert,bamboohr
Revere Health,Medical Practices,1001-5000,Provo,bamboohr
Office Pride,Janitorial Services,1-10,Carmel,bamboohr
PSS,Non-profit Organizations,501-1000,New York,bamboohr
Ashe Memorial Hospital,Hospitals and Health Care,51-200,Jefferson,bamboohr
Sigma Group,Construction,51-200,Upper Saddle River,bamboohr
YWCA,Non-profit Organizations,1001-5000,,bamboohr
LMR Technical Group,Armed Forces,51-200,Fort Walton Beach ,bamboohr
Wesley,Hospitals and Health Care,201-500,Kent,bamboohr
Next Generation Recruitment and Staffing Agency,Staffing and Recruiting,201-500,Atlanta,bamboohr
Neptune Retail Solutions,Advertising Services,501-1000,Jersey City,bamboohr
Ethos,Insurance,501-1000,Austin,bamboohr
AmeriPharma,Hospitals and Health Care,51-200,Orange,bamboohr
Rock West Composites,Aviation and Aerospace Component Manufacturing,51-200,San Diego,bamboohr
Auto-Chlor System,Chemical Manufacturing,1001-5000,Mountain View,bamboohr
"Ruekert & Mielke, Inc.",Civil Engineering,51-200,Waukesha,bamboohr
Ascension Recovery Services,Mental Health Care,11-50,Morgantown,bamboohr
Care Options For Kids,Hospitals and Health Care,501-1000,Dallas,bamboohr
DelRicht Research,Hospitals and Health Care,51-200,New Orleans,bamboohr
Rapid City Medical Center,Hospitals and Health Care,1-10,Rapid City,bamboohr
GCS Group,Education,201-500,Libertyville,bamboohr
Precision Door Service,Consumer Services,1001-5000,Woodinville,bamboohr
SecurityScorecard,Data Security Software Products,501-1000,New York,bamboohr
J.S. Held,Business Consulting and Services,1001-5000,Jericho,bamboohr
Quiktrak,Financial Services,51-200,Beaverton,bamboohr
"The Weitz Company / Contrack Watts, Inc.",Construction,1001-5000,Des Moines,bamboohr
Curtin Maritime,"Transportation, Logistics, Supply Chain and Storage",51-200,Long Beach,bamboohr
KSI,Legal Services,11-50,Minneapolis,bamboohr
The Onin Group,Professional Services,"5001-10,000",Birmingham,bamboohr
Booksy,IT Services and IT Consulting,501-1000,Chicago,bamboohr
