company_name,company_industry,employee_count_range,city,platform
Marriott International,Hospitality,"10,000+",Bethesda,icims
Allied Universal,Professional Services,"10,000+",Irvine,icims
Insight Global,Staffing and Recruiting,"10,000+",Atlanta,icims
"Healthcare Services Group, Inc",Hospitality,"5001-10,000",Bensalem,icims
HEB,Retail Groceries,"10,000+",San Antonio,icims
Healthcare Services Group,Professional Services,"5001-10,000",Bensalem,icims
Dollar General,Retail,"10,000+",Goodlettsville,icims
Ryder System,"Transportation, Logistics, Supply Chain and Storage","10,000+",Miami,icims
PepsiCo,Food and Beverage Services,"10,000+",Purchase,icims
Subway,Restaurants,"10,000+",Milford,icims
Brookdale Senior Living,Hospitals and Health Care,"10,000+",Brentwood,icims
Hyatt,Hospitality,"10,000+",Chicago,icims
Sprouts Farmers Market,Retail,"10,000+",Phoenix,icims
L3Harris,Defense and Space Manufacturing,"10,000+",Melbourne,icims
Lewis Brisbois Bisgaard & Smith LLP,Legal Services,1001-5000,Los Angeles,icims
Quest Diagnostics,Medical and Diagnostic Laboratories,"10,000+",Secaucus,icims
Matrix Medical Network,Hospitals and Health Care,1001-5000,Scottsdale,icims
Ulta Beauty,Retail,"10,000+",Bolingbrook,icims
Valvoline Instant Oil Change,Vehicle Repair and Maintenance,"5001-10,000",Lexington,icims
Gentiva,Hospitals and Health Care,"5001-10,000",Atlanta,icims
Marsh McLennan Agency,Insurance,"10,000+",White Plains,icims
Sargent & Lundy,Professional Services,1001-5000,Chicago,icims
Group 1 Automotive,Motor Vehicle Manufacturing,"5001-10,000",Houston,icims
Aveanna Healthcare,Hospitals and Health Care,"5001-10,000",Atlanta,icims
Massage Envy,Wellness and Fitness Services,"10,000+",Scottsdale,icims
BayCare Health System,Hospitals and Health Care,"10,000+",Clearwater,icims
UnityPoint Health,Hospitals and Health Care,"10,000+",West Des Moines,icims
Cadence Education,Education Administration Programs,"5001-10,000",Scottsdale,icims
Hard Rock International,Hospitality,"5001-10,000",Davie,icims
MasTec Inc,Construction,"5001-10,000",Coral Gables,icims
Northside Hospital,Hospitals and Health Care,"10,000+",Atlanta,icims
Enhabit Home Health & Hospice,Hospitals and Health Care,"5001-10,000",Dallas,icims
Fairview Health Services,Hospitals and Health Care,"10,000+",Minneapolis,icims
Aimbridge Hospitality,Hospitality,"5001-10,000",Plano,icims
Mercy,Hospitals and Health Care,"10,000+",Chesterfield,icims
Rivian,Motor Vehicle Manufacturing,"10,000+",Irvine,icims
Republic National Distributing Company,Beverage Manufacturing,1001-5000,Grand Prairie,icims
Reliant Rehabilitation,Hospitals and Health Care,"5001-10,000",Plano,icims
ARS/Rescue Rooter,Professional Services,"5001-10,000",Memphis,icims
Liberty Mutual Insurance,Insurance,"10,000+",Boston,icims
Rural King Supply,Retail,1001-5000,Benton,icims
AMD,Semiconductor Manufacturing,"10,000+",Santa Clara,icims
WinCo Foods,Retail Groceries,"10,000+",Boise,icims
ResCare Community Living,Hospitals and Health Care,"5001-10,000",Louisville,icims
Palm Beach Tan,Retail,1001-5000,Irving,icims
Hackensack Meridian Health,Hospitals and Health Care,"10,000+",Edison,icims
Oak View Group,Entertainment Providers,"5001-10,000",Greenwood Village,icims
Peraton,IT Services and IT Consulting,"10,000+",Reston,icims
"Your Part-Time Controller, LLC",Accounting,501-1000,Philadelphia,icims
Norton Healthcare,Hospitals and Health Care,"5001-10,000",Louisville,icims
Kimley-Horn,Engineering Services,"5001-10,000",Raleigh,icims
NFI Industries,Truck Transportation,"5001-10,000",Camden,icims
Emory Healthcare,Hospitals and Health Care,"10,000+",Atlanta,icims
Jiffy Lube,Vehicle Repair and Maintenance,"5001-10,000",Houston,icims
MasTec Advanced Technologies,Telecommunications,1001-5000,Centennial,icims
The Fresh Market,Retail,"5001-10,000",Greensboro,icims
