company_name,company_industry,employee_count_range,city,platform
LHH,Human Resources Services,"10,000+",Jacksonville,jobvite
Transdev,Ground Passenger Transportation,"10,000+",Lombard,jobvite
IDEA Public Schools,Education Administration Programs,"5001-10,000",Weslaco,jobvite
Footprint Solutions,"Transportation, Logistics, Supply Chain and Storage",1001-5000,Lisle,jobvite
Pilgrim's,Food and Beverage Manufacturing,"10,000+",Greeley,jobvite
Insurance Office of America,Insurance,501-1000,Longwood,jobvite
Oak Street Health,Hospitals and Health Care,1001-5000,Chicago,jobvite
Splunk,Software Development,"5001-10,000",San Francisco,jobvite
"SBM Management Services, LP",Facilities Services,1001-5000,McClellan,jobvite
Sharp HealthCare,Hospitals and Health Care,"10,000+",San Diego,jobvite
VML,Advertising Services,"10,000+",New York,jobvite
Wild Fork,Retail,501-1000,Doral,jobvite
NICE Actimize,Software Development,"5001-10,000",Hoboken,jobvite
AppFolio,Software Development,1001-5000,Santa Barbara,jobvite
Total Wine & More,Retail,"5001-10,000",Bethesda,jobvite
Alvarez & Marsal,Business Consulting and Services,"10,000+",New York,jobvite
Martin Marietta,Mining,"5001-10,000",Raleigh,jobvite
American Arbitration Association,Alternative Dispute Resolution,1001-5000,New York,jobvite
GroupM,Advertising Services,"10,000+",New York,jobvite
Metropolitan Transportation Authority,Urban Transit Services,"10,000+",New York,jobvite
Alliant Insurance Services,Insurance,"5001-10,000",Irvine,jobvite
Savers/Value Village,Retail,"5001-10,000",Bellevue,jobvite
Umpqua Bank,Banking,"5001-10,000",Portland,jobvite
Integrated Power Services,Industrial Machinery Manufacturing,1001-5000,Greenville,jobvite
JCPenney,Retail,"5001-10,000",Plano,jobvite
Cooper's Hawk Winery & Restaurants,Restaurants,"5001-10,000",Arlington Heights,jobvite
Tyler Technologies,Software Development,"5001-10,000",Plano,jobvite
JBS USA,Food and Beverage Manufacturing,"10,000+",Greeley,jobvite
Mendocino Farms,Restaurants,1001-5000,El Segundo,jobvite
"The Cook & Boardman Group, LLC",Construction,1001-5000,Winston-Salem,jobvite
BayMark Health Services,Hospitals and Health Care,1001-5000,Lewisville,jobvite
NICE,Software Development,"10,000+",Hoboken,jobvite
Clarvida,Health and Human Services,"5001-10,000",Fredericksburg,jobvite
Munson Healthcare,Hospitals and Health Care,"5001-10,000",Traverse City,jobvite
Central Garden & Pet,Manufacturing,"5001-10,000",Walnut Creek,jobvite
DHR Health,Hospitals and Health Care,1001-5000,Edinburg,jobvite
Benihana,Restaurants,"5001-10,000",Aventura,jobvite
Transformations Care Network,Mental Health Care,1001-5000,Taunton,jobvite
Coast Dental and Orthodontics,Hospitals and Health Care,1001-5000,Tampa,jobvite
Utah Transit Authority,Ground Passenger Transportation,1001-5000,Salt Lake City,jobvite
Ping Identity,Software Development,1001-5000,Denver,jobvite
Domtar,Paper and Forest Product Manufacturing,"5001-10,000",Fort Mill,jobvite
MedSpeed,Hospitals and Health Care,1001-5000,Elmhurst,jobvite
Northern Tool + Equipment,Retail,1001-5000,Burnsville,jobvite
MedVet,Veterinary Services,1001-5000,Worthington,jobvite
Hopebridge,Mental Health Care,1001-5000,Indianapolis,jobvite
Oregon State University,Higher Education,"10,000+",Corvallis,jobvite
Shutterfly,Retail,"5001-10,000",San Jose,jobvite
Confluent,Software Development,1001-5000,Mountain View,jobvite
BrightView Landscapes,Facilities Services,"5001-10,000",Blue Bell,jobvite
VMD Corp,IT Services and IT Consulting,501-1000,Fairfax,jobvite
BlackLine,Software Development,1001-5000,Woodland Hills,jobvite
EvergreenHealth,Hospitals and Health Care,1001-5000,Kirkland,jobvite
Credit One Bank,Financial Services,1001-5000,Las Vegas,jobvite
Qlik,Software Development,1001-5000,King of Prussia,jobvite
Panasonic Automotive,"Appliances, Electrical, and Electronics Manufacturing",1001-5000,Peachtree City,jobvite
YES Prep Public Schools,Primary and Secondary Education,1001-5000,Houston,jobvite
Dotdash Meredith,"Technology, Information and Internet",1001-5000,New York,jobvite
WebMD,"Technology, Information and Internet",1001-5000,Indianapolis,jobvite
Xcelerate Solutions,Business Consulting and Services,201-500,McLean,jobvite
The IMA Group,Hospitals and Health Care,201-500,Tarrytown,jobvite
New Relic,Software Development,1001-5000,San Francisco,jobvite
First Cash,Financial Services,"5001-10,000",Fort Worth,jobvite
Pet Paradise,Pet Services,1001-5000,Jacksonville,jobvite
Wind River,IT Services and IT Consulting,1001-5000,Alameda,jobvite
Trinity Property Consultants,Real Estate,501-1000,Irvine,jobvite
Zones,IT Services and IT Consulting,1001-5000,Auburn,jobvite
Enverus,Software Development,1001-5000,Austin,jobvite
Windsor Communities,Real Estate,501-1000,Boston,jobvite
Thrive Pet Healthcare,Hospitals and Health Care,"5001-10,000",Austin,jobvite
World Resources Institute,Think Tanks,1001-5000,Washington,jobvite
Monarch Investment and Management Group,Leasing Residential Real Estate,1001-5000,Franktown,jobvite
Brinks Home,Computers and Electronics Manufacturing,1001-5000,Dallas,jobvite
CJ Logistics America,"Transportation, Logistics, Supply Chain and Storage",1001-5000,Des Plaines,jobvite
Structure Tone,Construction,51-200,New York,jobvite
Independent Software,Software Development,1-10,New Haven,jobvite
Aligned Data Centers,IT Services and IT Consulting,201-500,Plano,jobvite
Infoblox,Computer and Network Security,1001-5000,Santa Clara,jobvite
Community Options,Civic and Social Organizations,"5001-10,000",Bismarck,jobvite
Value Village,Retail,"5001-10,000",Bellevue,jobvite
Ashoka,Civic and Social Organizations,1001-5000,Arlington,jobvite
Hussmann,Retail Groceries,"5001-10,000",Bridgeton,jobvite
Praxis Engineering,Software Development,201-500,Annapolis Junction,jobvite
Wind Creek Hospitality,Gambling Facilities and Casinos,1001-5000,"Atmore, AL",jobvite
Frontier Internet,Telecommunications,"10,000+",Dallas,jobvite
Wallick Communities,Real Estate,1001-5000,New Albany ,jobvite
Nation Security,Security and Investigations,51-200,Miami,jobvite
X-energy,Nuclear Electric Power Generation,51-200,Rockville,jobvite
Cape Cod Veterinary Specialists,Veterinary Services,51-200,Buzzards Bay,jobvite
MCC Label,Packaging and Containers Manufacturing,1001-5000,Rosemont,jobvite
DEX Imaging,Retail Office Equipment,1001-5000,Tampa,jobvite
Healing Partners,Hospitals and Health Care,201-500,Sparks Glencoe,jobvite
FirstBank,Banking,1001-5000,Lakewood,jobvite
VetPartners,Veterinary Services,"5001-10,000",Raleigh,jobvite
Parts Town,"Transportation, Logistics, Supply Chain and Storage",501-1000,Addison,jobvite
Nyla Technology Solutions,Software Development,11-50,Baltimore,jobvite
Swift Transportation,"Transportation, Logistics, Supply Chain and Storage","5001-10,000",Phoenix,jobvite
Commonwealth Hotels,Hospitality,501-1000,Covington,jobvite
Ruppert Companies,Construction,501-1000,Laytonsville,jobvite
Generations Healthcare,Hospitals and Health Care,1001-5000,Santa Ana,jobvite
Roots Management Group,Real Estate,201-500,Addison,jobvite
gTANGIBLE Corporation,Strategic Management Services,11-50,Alexandria,jobvite
Internet Brands,Software Development,"5001-10,000",El Segundo,jobvite
360 Behavioral Health,Individual and Family Services,1001-5000,Van Nuys,jobvite
Dealer Specialties,Motor Vehicle Manufacturing,201-500,Monroe,jobvite
Edge Autonomy,Aviation and Aerospace Component Manufacturing,201-500,San Luis Obispo,jobvite
Ziff Davis,"Technology, Information and Media","5001-10,000",New York,jobvite
Beyond Limits,Software Development,201-500,Glendale,jobvite
Jacoby & Meyers,Law Practice,51-200,Dothan,jobvite
Enphase Energy,Renewable Energy Semiconductor Manufacturing,1001-5000,Fremont,jobvite
Mercy Corps,Non-profit Organizations,"5001-10,000",Portland,jobvite
"Impact Networking, LLC",IT Services and IT Consulting,501-1000,Lake Forest,jobvite
"BrightView Landscapes, LLC- DE",Facilities Services,1001-5000,Blue Bell,jobvite
Edelman Financial Engines,Financial Services,1001-5000,Santa Clara,jobvite
Hylant,Insurance,1001-5000,Toledo,jobvite
Pinnacle Live,Events Services,11-50,Arlington Heights,jobvite
Positive Development,Hospitals and Health Care,201-500,McLean,jobvite
Premier Early Childhood Education Partners,Education Administration Programs,51-200,Chicago,jobvite
Parkway Title,Real Estate,11-50,Greenwood Village,jobvite
Catapult Learning,Education Administration Programs,1001-5000,Philadelphia,jobvite
Ramsey Solutions,Financial Services,1001-5000,Franklin,jobvite
Planned Companies,Real Estate,1001-5000,Parsippany,jobvite
ECC,Construction,1001-5000,Burlingame,jobvite
NuScale Power,Utilities,501-1000,Corvallis,jobvite
Lincoln Property Company,Real Estate,"5001-10,000",Dallas,jobvite
eXp Realty,Real Estate,"10,000+",Bellingham,jobvite
Byrider,Financial Services,1001-5000,Carmel,jobvite
Blount Fine Foods,Food and Beverage Manufacturing,1001-5000,Fall River,jobvite
"Berkeley Research Group, LLC",Professional Services,1001-5000,Emeryville,jobvite
"Zones, LLC",IT Services and IT Consulting,1001-5000,Auburn,jobvite
Astrana Health,Hospitals and Health Care,501-1000,Alhambra,jobvite
STO Building Group,Construction,1001-5000,New York,jobvite
Jet Linx,Airlines and Aviation,,Omaha,jobvite
Medidata Solutions,Software Development,1001-5000,New York,jobvite
Scopely,Entertainment Providers,1001-5000,Culver City,jobvite
"McCarthy Building Companies, Inc.",Construction,"5001-10,000",St Louis,jobvite
Certinia,Software Development,1001-5000,Austin,jobvite
EVgo,Motor Vehicle Manufacturing,201-500,Los Angeles,jobvite
Tender Greens,Restaurants,501-1000,Los Angeles,jobvite
Mars United Commerce,Advertising Services,501-1000,Southfield,jobvite
Victaulic,Industrial Machinery Manufacturing,1001-5000,Easton,jobvite
Hoar,Construction,501-1000,Birmingham,jobvite
Torrance Memorial Medical Center,Hospitals and Health Care,"5001-10,000",Torrance,jobvite
Cushing Terrell,Architecture and Planning,501-1000,Billings,jobvite
American National,Insurance,"5001-10,000",Galveston,jobvite
Marine Credit Union,Financial Services,201-500, La Crosse,jobvite
Tenable,Computer and Network Security,1001-5000,Columbia,jobvite
RK,Construction,1001-5000,Denver,jobvite
Justice Resource Institute,Individual and Family Services,1001-5000,Needham,jobvite
Dreyer's Grand Ice Cream,Manufacturing,1001-5000,Walnut Creek,jobvite
P1 Dental Partners,Hospitals and Health Care,201-500,Indianapolis,jobvite
Rarebreed Veterinary Partners,Veterinary Services,1001-5000,Portland,jobvite
FieldCore,Engineering Services,"5001-10,000",Atlanta,jobvite
Fluidra North America,Manufacturing,"5001-10,000",Carlsbad,jobvite
Varonis,Computer and Network Security,1001-5000,New York,jobvite
Gigamon,Software Development,1001-5000,Santa Clara,jobvite
Knowles Corporation,"Appliances, Electrical, and Electronics Manufacturing","5001-10,000",Itasca,jobvite
LONG Building Technologies,Construction,201-500,Littleton,jobvite
Progress,Software Development,1001-5000,Burlington,jobvite
Carriage Services,Individual and Family Services,1001-5000,Houston,jobvite
LiftOne,Machinery Manufacturing,1001-5000,Charlotte,jobvite
"PSI Pax, Inc.",IT Services and IT Consulting,51-200,California,jobvite
Meltwater,Software Development,1001-5000,San Francisco,jobvite
HNI Corporation,Furniture and Home Furnishings Manufacturing,"5001-10,000",Muscatine,jobvite
Imprivata,Software Development,1001-5000,Waltham,jobvite
Imagine Learning,E-Learning Providers,1001-5000,Tempe,jobvite
Xperi,Software Development,1001-5000,San Jose,jobvite
Inogen,Medical Equipment Manufacturing,1001-5000,Goleta,jobvite
Ohio CAT,Retail Office Equipment,1001-5000,Broadview Heights,jobvite
Norstella,Information Services,51-200,Yardley,jobvite
Realty Income Corporation,Real Estate,501-1000,San Diego,jobvite
Copa Health,Hospitals and Health Care,501-1000,Mesa,jobvite
Choreograph,Government Administration,201-500,New York,jobvite
DaBella,Construction,1001-5000,Hillsboro,jobvite
"Sumitomo Electric Wiring Systems, Inc.",Motor Vehicle Manufacturing,"5001-10,000",Bowling Green,jobvite
Lifespark,Hospitals and Health Care,501-1000,St Louis Park,jobvite
Terran Orbital,Defense and Space Manufacturing,51-200,Boca Raton,jobvite
Torrid,Retail,"5001-10,000",City of Industry,jobvite
System Pavers,Construction,201-500,Santa Ana,jobvite
Lifetouch,Photography,"5001-10,000",Eden Prairie,jobvite
"Cupertino Electric, Inc.",Construction,1001-5000,San Jose,jobvite
BioMarin Pharmaceutical Inc.,Biotechnology Research,1001-5000,San Rafael,jobvite
All Roads,Motor Vehicle Manufacturing,51-200,Dundalk,jobvite
Ability Beyond,Individual and Family Services,1001-5000,Bethel,jobvite
Premier Protective Security,Security and Investigations,11-50,Nashville,jobvite
"MacAllister Machinery Co., Inc.",Machinery Manufacturing,501-1000,Indianapolis,jobvite
Grid Dynamics,IT Services and IT Consulting,1001-5000,San Ramon,jobvite
Franklin Energy,Business Consulting and Services,1001-5000,Port Washington,jobvite
Sitecore,Software Development,1001-5000,San Francisco,jobvite
ACCO Brands,Manufacturing,"5001-10,000",Lake Zurich,jobvite
Ruppert Landscape,Construction,1001-5000,Laytonsville,jobvite
Ayr Wellness,Manufacturing,1001-5000,New York,jobvite
Venterra Realty,Real Estate,501-1000,Houston,jobvite
"Pacira BioSciences, Inc.",Pharmaceutical Manufacturing,501-1000,Tampa,jobvite
MedMark Treatment Centers,Hospitals and Health Care,201-500,Lewisville,jobvite
INCOG BioPharma Services,Biotechnology Research,51-200,Fishers ,jobvite
Earthjustice,Law Practice,501-1000,San Francisco,jobvite
COPE Health Solutions,Business Consulting and Services,201-500,Los Angeles,jobvite
"Latham, The Pool Company",Manufacturing,201-500,Latham,jobvite
Progress Industries,Non-profit Organizations,51-200,Newton,jobvite
Ookla,IT Services and IT Consulting,201-500,Seattle,jobvite
Laborie Medical Technologies,Hospitals and Health Care,501-1000,Portsmouth,jobvite
CMG Financial,Financial Services,1001-5000,San Ramon,jobvite
Rehmann,Financial Services,1001-5000,Troy,jobvite
Azzur Group,Pharmaceutical Manufacturing,201-500,Hatboro,jobvite
Shamrock Trading Corporation,Truck Transportation,501-1000,Overland Park,jobvite
Ardelyx,Research Services,201-500,Waltham,jobvite
Jet Linx Aviation,"Transportation, Logistics, Supply Chain and Storage",501-1000,Omaha,jobvite
The PENTA Building Group,Construction,201-500,Las Vegas,jobvite
ARC Document Solutions,Printing Services,1001-5000,San Ramon,jobvite
Kitsap Mental Health Services,Mental Health Care,501-1000,Bremerton,jobvite
Ampere Computing,Computer Hardware Manufacturing,1001-5000,Santa Clara,jobvite
LegalZoom,Law Practice,1001-5000,Mountain View,jobvite
Berry Appleman & Leiden,Legal Services,1001-5000,Richardson,jobvite
PulsePoint,Advertising Services,201-500,New York,jobvite
Dodge Construction Network,Software Development,501-1000,Boston,jobvite
Davis Wright Tremaine LLP,Law Practice,1001-5000,Seattle,jobvite
FC Dallas,Spectator Sports,201-500,Frisco,jobvite
Mortenson Dental Partners,Medical Practices,1001-5000,Middletown,jobvite
SageCor Solutions,IT Services and IT Consulting,11-50,Baltimore,jobvite
Laserfiche,Software Development,201-500,Long Beach,jobvite
Medicus Healthcare Solutions,Staffing and Recruiting,201-500,Windham,jobvite
Oxford HealthCare,Hospitals and Health Care,1001-5000,Springfield,jobvite
Schnabel,Construction,201-500,Sterling,jobvite
Logitech,Computers and Electronics Manufacturing,"5001-10,000",San Jose,jobvite
First Tech Federal Credit Union,Financial Services,1001-5000,Hillsboro,jobvite
Optimas Solutions,Manufacturing,1001-5000,Wood Dale,jobvite
Pioneer Human Services,Non-profit Organizations,501-1000,Seattle,jobvite
LeadVenture,Software Development,1001-5000,Wilsonville,jobvite
Recurrent Energy,Renewable Energy Power Generation,501-1000,Austin,jobvite
ReaderLink,Book and Periodical Publishing,1001-5000,Oak Brook,jobvite
"Latham Pool Products, Inc",Manufacturing,1001-5000,Latham,jobvite
Northwest Kidney Centers,Hospitals and Health Care,501-1000,SeaTac,jobvite
Star Furniture,Furniture and Home Furnishings Manufacturing,1001-5000,Houston,jobvite
Ampere,Semiconductor Manufacturing,1001-5000,Santa Clara,jobvite
Sage Eldercare Solutions,Individual and Family Services,51-200,Burlingame,jobvite
Maine Veterinary Medical Center,Hospitals and Health Care,11-50,Scarborough,jobvite
Acra Lending,Financial Services,201-500,Irvine,jobvite
Advanced Systems Group,Construction,201-500,Fort Wayne,jobvite
Red Alpha,Software Development,51-200,Columbia,jobvite
Veson Nautical,Software Development,201-500,Boston,jobvite
Funko,Manufacturing,1001-5000,Everett,jobvite
Qualifacts,Software Development,1001-5000,Nashville,jobvite
loanDepot,Financial Services,"5001-10,000",Irvine,jobvite
Equitas Health,Hospitals and Health Care,501-1000,Columbus,jobvite
CreditAssociates,Financial Services,201-500,Dallas,jobvite
Synaptics,Computer Hardware Manufacturing,1001-5000,San Jose,jobvite
CARFAX,Software Development,1001-5000,Centreville,jobvite
NeoGenomics Laboratories,Hospitals and Health Care,1001-5000,Fort Myers,jobvite
Avidity Biosciences,Pharmaceutical Manufacturing,51-200,San Diego,jobvite
BAART Programs,Hospitals and Health Care,201-500,Lewisville,jobvite
Glidewell Dental,Medical Equipment Manufacturing,1001-5000,Newport Beach,jobvite
