company_name,company_industry,employee_count_range,city,platform
Circle,"Technology, Information and Internet",1001-5000,New York,lever
CGS Federal (Contact Government Services),Government Relations Services,,Washington ,lever
Scribd,Online Audio and Video Media,201-500,San Francisco,lever
"Guidewire Software, Inc.",Software Development,1001-5000,San Mateo,lever
Ci&T,Software Development,"5001-10,000",New York,lever
"Scribd, Inc.",Software Development,201-500,San Francisco,lever
Netflix,Entertainment Providers,"10,000+",Los Gatos,lever
WinnCompanies,Real Estate,1001-5000,Boston,lever
FullStack Labs,IT Services and IT Consulting,501-1000,Granite Bay,lever
Qualdoc,Outsourcing and Offshoring Consulting,11-50,Charlottesville,lever
Renewal by Andersen,Building Construction,"5001-10,000",Cottage Grove,lever
Rosendin Electric,Construction,"5001-10,000",San Jose,lever
Nielsen,Software Development,"5001-10,000",New York,lever
Daniels Health,Hospitals and Health Care,1001-5000,Chicago,lever
Rackspace Technology,IT Services and IT Consulting,"5001-10,000",San Antonio,lever
Relativity,Software Development,1001-5000,Chicago,lever
Insomnia Cookies,Restaurants,1001-5000,Philadelphia,lever
Cogent Analytics,Business Consulting and Services,201-500,Greensboro,lever
The Boring Company,Industrial Machinery Manufacturing,501-1000,Bastrop,lever
Edelman,Public Relations and Communications Services,"5001-10,000",New York,lever
LifeStance Health,Hospitals and Health Care,1001-5000,Scottsdale,lever
Dun & Bradstreet,Information Services,"5001-10,000",Jacksonville,lever
Lansing School District,Education Administration Programs,1001-5000,Lansing,lever
CSC Generation,Venture Capital and Private Equity Principals,501-1000,Chicago,lever
Lime,Software Development,1001-5000,San Francisco,lever
Carbon Health,Hospitals and Health Care,1001-5000,Oakland,lever
Chainlink Labs,"Technology, Information and Internet",501-1000,Remote,lever
Wade Trim,Civil Engineering,501-1000,Detroit,lever
Kaseya,Software Development,"5001-10,000",Miami,lever
Saviynt,Software Development,501-1000,El Segundo,lever
Design Solutions & Integration,Oil and Gas,51-200,Sioux Falls,lever
K Group Companies,IT Services and IT Consulting,,Grand Rapids,lever
Brillio LLC,IT Services and IT Consulting,1001-5000,Edison,lever
3Pillar Global,Software Development,1001-5000,Fairfax,lever
Trio,Environmental Services,201-500,Irvine,lever
Enable,Software Development,1001-5000,San Francisco,lever
MeridianLink,Software Development,501-1000,Costa Mesa,lever
City Electric Supply,Wholesale,1001-5000,Dallas,lever
Empower,Financial Services,"10,000+",Greenwood Village,lever
Rowan,Retail Luxury Goods and Jewelry,501-1000,New York,lever
Zoox,Motor Vehicle Manufacturing,1001-5000,Foster City,lever
JumpCloud,Software Development,501-1000,Louisville,lever
Consensus,Software Development,1001-5000,Atlanta,lever
Premier Truck Rental,Transportation Equipment Manufacturing,51-200,Fort Wayne,lever
Ahead,Retail Apparel and Fashion,1001-5000,New Bedford,lever
Luna Physical Therapy,Wellness and Fitness Services,1001-5000,Nashville,lever
Juniper,Landscaping Services,201-500,Fort Myers,lever
Mantis Innovation,Facilities Services,,Houston,lever
Cision,Public Relations and Communications Services,1001-5000,Chicago,lever
Coalfire,Professional Services,1001-5000,Greenwood Village,lever
TKDA,Civil Engineering,201-500,Saint Paul,lever
Legacy Restoration,Construction,201-500,Plymouth,lever
SharkNinja,"Appliances, Electrical, and Electronics Manufacturing",1001-5000,Needham,lever
Serv-U-Success,Retail,1001-5000,Grandville,lever
The Foth Companies,Professional Services,501-1000,De Pere,lever
Hermeus,Airlines and Aviation,51-200,Atlanta,lever
Gopuff,Software Development,"10,000+",Philadelphia,lever
"Aledade, Inc.",Hospitals and Health Care,,Bethesda,lever
Coupa,IT Services and IT Consulting,1001-5000,San Mateo,lever
Aprio,Professional Services,1001-5000,Atlanta,lever
Murgado Automotive Group,Motor Vehicle Manufacturing,1001-5000,Miami,lever
Flow,Real Estate,201-500,Everywhere,lever
Atlan,Software Development,201-500,New York,lever
"Milhouse Engineering and Construction, Inc.",Engineering Services,201-500,Chicago,lever
Granicus,Software Development,1001-5000,Denver,lever
Brillio,IT Services and IT Consulting,"5001-10,000",Edison,lever
Lyra Health,Mental Health Care,1001-5000,Burlingame,lever
"Penumbra, Inc.",Medical Equipment Manufacturing,1001-5000,Alameda,lever
E2 Optics,Telecommunications,1001-5000,Englewood,lever
Provectus,IT Services and IT Consulting,501-1000,Palo Alto,lever
Sploot Vet Care,Pet Services,51-200,Denver,lever
Relay,Mobile Computing Software Products,"10,000+",Raleigh,lever
Scholar Rock,Biotechnology,51-200,Cambridge,lever
Bounteous,IT Services and IT Consulting,1001-5000,Chicago,lever
Commonwealth Fusion Systems,Renewable Energy Power Generation,201-500,Devens,lever
Lessen,Real Estate,1001-5000,Scottsdale,lever
HighLevel,Software Development,1001-5000,Dallas,lever
GuideStar Eldercare,Medical Practices,51-200,Crown Point,lever
CAI,Pharmaceutical Manufacturing,1001-5000,Indianapolis,lever
Red Canary,Computer and Network Security,201-500,Denver,lever
Action Property Management,Real Estate,501-1000,Irvine,lever
Little Sprouts,Education,501-1000,Inverness,lever
ControlUp,Software Development,201-500,San Francisco,lever
Honeycomb.io,IT Services and IT Consulting,51-200,San Francisco,lever
Welocalize,Translation and Localization,1001-5000,New York,lever
Spreetail,Retail,1001-5000,Lincoln,lever
SunSource,Industrial Machinery Manufacturing,1001-5000,Addison,lever
Talkiatry,Mental Health Care,501-1000,New York,lever
Wasabi,Restaurants,201-500,Norfolk,lever
Plaid,Software Development,1001-5000,San Francisco ,lever
KUBRA,Software Development,501-1000,Tempe,lever
Component Repair Technologies,Airlines and Aviation,201-500,Mentor,lever
WYLD,Pharmaceutical Manufacturing,501-1000,Clackamas,lever
Bone Dry Roofing Inc.,Construction,501-1000,Indianapolis,lever
PTR Premier Truck Rental,Motor Vehicle Manufacturing,,Fort Wayne,lever
Bazaarvoice,Software Development,1001-5000,Austin,lever
Marcus & Millichap,Real Estate,1001-5000,Calabasas,lever
CesiumAstro,Defense and Space Manufacturing,201-500,Austin,lever
TerrAscend,Alternative Medicine,51-200,King of Prussia,lever
Window Nation,Construction,501-1000,Fulton,lever
Instructure,E-Learning Providers,1001-5000,Salt Lake City,lever
Quantcast,"Technology, Information and Internet",501-1000,San Francisco,lever
Hot Topic,Retail,"5001-10,000",City of Industry,lever
Tecton,Software Development,201-500,San Francisco,lever
Wing Assistant,Internet Marketplace Platforms,,Berkeley,lever
Algolia,Software Development,501-1000,Palo Alto,lever
Everbridge,Software Development,1001-5000,Boston,lever
Penumbra,Medical Equipment Manufacturing,1001-5000,Alameda,lever
dbt Labs,Software Development,201-500,Philadelphia,lever
SageSure,Insurance,501-1000,Jersey City,lever
Ware Malcomb,Design Services,501-1000,International Design Firm,lever
TTEC Digital,IT Services and IT Consulting,1001-5000,Greenwood Village,lever
Quench,Retail,1-10,Columbia,lever
Fairmatic,Insurance,51-200,New York,lever
NY State Solar,Renewable Energy Semiconductor Manufacturing,201-500,New York,lever
Sysdig,Computer and Network Security,501-1000,San Francisco,lever
Extreme Networks,Software Development,1001-5000,Morrisville,lever
Persona,Software Development,501-1000,San Francisco,lever
Anchorage Digital,Financial Services,201-500,San Francisco,lever
Tom James Company,Retail Apparel and Fashion,1001-5000,Franklin,lever
Premier Truck Group,Truck Transportation,1001-5000,Dallas,lever
PMA Consultants,Business Consulting and Services,201-500,Detroit,lever
Zamp,"Technology, Information and Internet",11-50,San Francisco,lever
Fabric,"Transportation, Logistics, Supply Chain and Storage",501-1000,New York,lever
Redwood Credit Union,Banking,501-1000,Santa Rosa,lever
Saronic Technologies,Defense and Space Manufacturing,,Austin,lever
Bisnow,Online Audio and Video Media,201-500,New York,lever
GoodLeap,Financial Services,1001-5000,Roseville,lever
Highwire Public Relations,Public Relations and Communications Services,51-200,San Francisco,lever
Lionheart Children's Academy,Child Day Care Services,501-1000,Arlington,lever
NexThreat,Computer and Network Security,1-10,Alexandria,lever
UltraViolet Cyber,Computer and Network Security,201-500,McLean,lever
Fluence Energy,Oil and Gas,1001-5000,Arlington,lever
Percona,Software Development,201-500,Durham,lever
Cirrus Logic,Semiconductor Manufacturing,1001-5000,Austin,lever
Appen,IT Services and IT Consulting,"10,000+",Kirkland,lever
Xsolla,Computer Games,501-1000,Sherman Oaks,lever
Kett Engineering,Transportation Equipment Manufacturing,501-1000,Los Angeles,lever
Care Access,Research Services,501-1000,Boston,lever
Life.Church,Non-profit Organizations,1001-5000,Edmond,lever
Banner Bank,Banking,1001-5000,Walla Walla,lever
"Constellation Technologies, Inc",IT Services and IT Consulting,11-50,Columbia,lever
Gowan Company,Chemical Manufacturing,201-500,Yuma,lever
Observe.AI,Software Development,201-500,Redwood City,lever
Encore Vet Group,Veterinary Services,1001-5000,Gansevoort,lever
Greenlight,Financial Services,501-1000,Atlanta,lever
Walker Consultants,Architecture and Planning,201-500,Hoffman Estates,lever
Circle Care Services,Individual and Family Services,201-500,Highland Park,lever
OpenGov Inc.,Software Development,501-1000,San Jose,lever
Hinge Health,Software Development,1001-5000,San Francisco,lever
Fluence,Renewable Energy Semiconductor Manufacturing,1001-5000,Arlington,lever
Exabeam,Computer and Network Security,501-1000,Foster City,lever
Arrive Logistics,"Transportation, Logistics, Supply Chain and Storage",1001-5000,Austin,lever
Lendbuzz,Financial Services,201-500,Boston,lever
Luxury Presence,"Technology, Information and Internet",501-1000,Austin,lever
RainFocus,Software Development,201-500,Lehi,lever
Colibri Group,Professional Training and Coaching,1001-5000,St Louis,lever
Hudson RPO,Staffing and Recruiting,1001-5000,Tampa,lever
Tripalink,"Technology, Information and Internet",201-500,Los Angeles,lever
KPA,Software Development,501-1000,Westminster,lever
Agile Defense,IT Services and IT Consulting,,Reston,lever
Sprinter Health,Hospitals and Health Care,51-200,San Francisco,lever
